time,GPS1,GPS2,A,B,C
9:58:49,49.7438433333333,13.3691233333333,115,200,81
9:58:49,49.7438433333333,13.3691233333333,114,200,81
9:58:49,49.7438433333333,13.3691233333333,114,200,81
9:58:49,49.7438433333333,13.3691233333333,114,200,81
9:58:49,49.7438433333333,13.3691233333333,111,200,83
9:58:49,49.7438433333333,13.3691233333333,111,200,83
9:58:49,49.7438433333333,13.3691233333333,111,200,83
9:58:49,49.7438433333333,13.3691233333333,108,200,83
9:58:53,49.7436733333333,13.3690783333333,255,200,80
9:58:53,49.7436733333333,13.3690783333333,255,200,80
9:58:53,49.7436733333333,13.3690783333333,255,200,80
9:58:53,49.7436733333333,13.3690783333333,255,200,80
9:58:53,49.7436733333333,13.3690783333333,255,200,83
9:58:53,49.7436733333333,13.3690783333333,255,200,83
9:58:53,49.7436316666667,13.3690766666667,255,200,83
9:58:53,49.7436316666667,13.3690766666667,255,200,83
9:58:53,49.7436316666667,13.3690766666667,255,200,83
9:58:53,49.7436316666667,13.3690766666667,255,200,81
9:58:53,49.7436316666667,13.3690766666667,255,200,81
9:58:53,49.7436316666667,13.3690766666667,255,200,81
9:58:53,49.7436316666667,13.3690766666667,255,200,81
9:58:53,49.7436316666667,13.3690766666667,255,200,81
9:58:53,49.7436316666667,13.3690766666667,255,200,81
9:58:53,49.7436316666667,13.3690766666667,255,200,81
9:58:53,49.7436316666667,13.3690766666667,255,200,81
9:58:53,49.7436316666667,13.3690766666667,255,200,81
9:58:54,49.7436316666667,13.3690766666667,255,200,81
9:58:54,49.7436316666667,13.3690766666667,255,200,81
9:58:54,49.7436316666667,13.3690766666667,255,200,81
9:58:54,49.7436316666667,13.3690766666667,255,200,81
9:58:54,49.7436316666667,13.3690766666667,255,200,81
9:58:54,49.7436316666667,13.3690766666667,255,200,81
9:58:54,49.7436316666667,13.3690766666667,255,200,81
9:58:54,49.7436316666667,13.3690766666667,255,200,81
9:58:54,49.7436316666667,13.3690766666667,255,200,86
9:58:54,49.7436316666667,13.3690766666667,255,200,86
9:58:54,49.7436316666667,13.3690766666667,255,200,86
9:58:54,49.7436316666667,13.3690766666667,255,200,85
9:58:54,49.7436316666667,13.3690766666667,255,200,85
